,0
id,0.0%
last_login,0.0%
user_name,0.0%
fullname,0.0%
email,0.0%
age,0.0%
income,0.0%
gender,0.0%
country,0.0%
address,0.0%
purchase_history,0.0%
is_active,0.0%
registration_date,0.0%
phone_number,0.0%
login_history,0.0%
